image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,1,0.871437,car,car,True
drive_022,2,3,0.749623,car,car,True
drive_022,3,5,0.857753,truck,bus,False
drive_022,4,2,0.915143,bus,van,False
drive_022,5,4,0.788699,van,car,False
drive_033,1,3,0.838149,car,car,True
drive_033,2,4,0.696335,car,car,True
drive_033,3,7,0.879511,car,car,True
drive_033,4,5,0.841204,car,car,True
drive_033,5,6,0.823437,car,car,True
drive_033,6,8,0.866119,car,car,True
drive_033,7,10,0.818966,car,car,True
drive_033,14,9,0.817752,car,car,True
drive_033,29,2,0.799842,truck,bus,False
drive_033,30,1,0.949824,bus,van,False
drive_033,31,12,0.932168,bus,van,False
drive_038,1,4,0.9017,car,car,True
drive_038,2,3,0.873428,car,car,True
drive_038,3,2,0.942182,car,car,True
drive_038,4,1,0.933671,car,car,True
drive_038,5,8,0.818297,car,car,True
drive_038,6,7,0.821587,car,car,True
drive_038,7,6,0.816798,car,car,True
drive_038,8,13,0.840139,car,car,True
drive_038,9,14,0.818289,car,car,True
drive_038,10,11,0.811857,car,car,True
drive_038,11,12,0.614972,car,car,True
drive_038,12,16,0.778325,car,car,True
drive_038,13,17,0.810192,car,car,True
drive_038,40,5,0.924385,van,bus,False
drive_038,41,15,0.846296,van,truck,False
drive_038,43,9,0.91497,truck,bus,False
drive_008,1,16,0.921514,car,car,True
drive_008,2,11,0.898965,car,car,True
drive_008,3,6,0.87159,car,car,True
drive_008,5,4,0.900677,car,car,True
drive_008,6,2,0.914721,car,car,True
drive_008,17,15,0.417309,car,car,True
drive_008,18,14,0.858565,car,car,True
drive_008,19,13,0.638483,car,car,True
drive_008,20,7,0.794115,car,car,True
drive_008,22,1,0.827368,truck,bus,False
drive_008,24,9,0.961598,bus,van,False
drive_008,26,3,0.907081,van,truck,False
drive_008,27,5,0.83793,van,truck,False
drive_008,28,12,0.868771,van,truck,False
